timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1509645414686,532,conf #2,200,OK,Conf2 2-1,text,true,,366,0,2,6,532,0,0
1509645415160,441,conf #2,200,OK,Conf2 2-2,text,true,,366,0,2,7,441,0,0
1509645415626,398,conf #2,200,OK,Conf2 2-3,text,true,,366,0,3,9,398,0,0
1509645416078,404,conf #2,200,OK,Conf2 2-4,text,true,,366,0,4,12,404,0,0
1509645416185,408,conf #2,200,OK,Conf2 2-1,text,true,,366,0,5,15,408,0,0
1509645416534,408,conf #2,200,OK,Conf2 2-5,text,true,,366,0,5,15,408,0,0
1509645416659,422,conf #2,200,OK,Conf2 2-2,text,true,,366,0,6,18,422,0,0
1509645416988,405,conf #2,200,OK,Conf2 2-6,text,true,,366,0,6,19,405,0,0
1509645417125,400,conf #2,200,OK,Conf2 2-3,text,true,,366,0,7,21,400,0,0
1509645417444,418,conf #2,200,OK,Conf2 2-7,text,true,,366,0,7,22,418,0,0
1509645417578,413,conf #2,200,OK,Conf2 2-4,text,true,,366,0,8,24,413,0,0
1509645417685,516,conf #2,200,OK,Conf2 2-1,text,true,,366,0,8,24,516,0,0
1509645417898,424,conf #2,200,OK,Conf2 2-8,text,true,,366,0,8,25,424,0,0
1509645418035,428,conf #2,200,OK,Conf2 2-5,text,true,,366,0,9,27,428,0,0
1509645418159,434,conf #2,200,OK,Conf2 2-2,text,true,,366,0,9,27,433,0,0
1509645418354,423,conf #2,200,OK,Conf2 2-9,text,true,,366,0,9,28,423,0,0
1509645418487,452,conf #2,200,OK,Conf2 2-6,text,true,,366,0,10,30,452,0,0
1509645418625,438,conf #2,200,OK,Conf2 2-3,text,true,,366,0,10,30,438,0,0
1509645418814,439,conf #2,200,OK,Conf2 2-10,text,true,,366,0,10,31,439,0,0
1509645418944,436,conf #2,200,OK,Conf2 2-7,text,true,,366,0,11,33,436,0,0
1509645419077,452,conf #2,200,OK,Conf2 2-4,text,true,,366,0,11,33,451,0,0
1509645419185,451,conf #2,200,OK,Conf2 2-1,text,true,,366,0,11,33,451,0,0
1509645419270,544,conf #2,200,OK,Conf2 2-11,text,true,,366,0,11,33,544,0,0
1509645419399,461,conf #2,200,OK,Conf2 2-8,text,true,,366,0,11,33,461,0,0
1509645419535,452,conf #2,200,OK,Conf2 2-5,text,true,,366,0,11,33,452,0,0
1509645419659,452,conf #2,200,OK,Conf2 2-2,text,true,,366,0,11,33,452,0,0
1509645419855,460,conf #2,200,OK,Conf2 2-9,text,true,,366,0,11,33,460,0,0
1509645419987,473,conf #2,200,OK,Conf2 2-6,text,true,,366,0,11,33,473,0,0
1509645420125,481,conf #2,200,OK,Conf2 2-3,text,true,,366,0,11,33,481,0,0
1509645420313,478,conf #2,200,OK,Conf2 2-10,text,true,,366,0,11,33,478,0,0
1509645420444,475,conf #2,200,OK,Conf2 2-7,text,true,,366,0,11,33,475,0,0
1509645420577,480,conf #2,200,OK,Conf2 2-4,text,true,,366,0,11,33,480,0,0
1509645420683,493,conf #2,200,OK,Conf2 2-1,text,true,,366,0,11,33,493,0,0
