timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510122999053,439,conf #2,200,OK,Conf2 2-1,text,true,,366,0,2,6,439,0,0
1510122999053,439,conf #2,200,OK,Conf2 2-1,text,true,,366,0,2,6,439,0,0
1510122999462,325,conf #2,200,OK,Conf2 2-2,text,true,,366,0,2,6,325,0,0
1510122999462,325,conf #2,200,OK,Conf2 2-2,text,true,,366,0,2,6,325,0,0
1510122999921,317,conf #2,200,OK,Conf2 2-3,text,true,,366,0,3,9,317,0,0
1510122999921,317,conf #2,200,OK,Conf2 2-3,text,true,,366,0,3,9,317,0,0
1510123000367,312,conf #2,200,OK,Conf2 2-4,text,true,,366,0,4,12,312,0,0
1510123000367,312,conf #2,200,OK,Conf2 2-4,text,true,,366,0,4,12,312,0,0
1510123000512,319,conf #2,200,OK,Conf2 2-1,text,true,,366,0,5,14,319,0,0
1510123000512,319,conf #2,200,OK,Conf2 2-1,text,true,,366,0,5,14,319,0,0
1510123000828,317,conf #2,200,OK,Conf2 2-5,text,true,,366,0,5,15,317,0,0
1510123000828,317,conf #2,200,OK,Conf2 2-5,text,true,,366,0,5,15,317,0,0
1510123000961,323,conf #2,200,OK,Conf2 2-2,text,true,,366,0,6,17,323,0,0
1510123000961,323,conf #2,200,OK,Conf2 2-2,text,true,,366,0,6,17,323,0,0
1510123001284,322,conf #2,200,OK,Conf2 2-6,text,true,,366,0,6,18,322,0,0
1510123001284,322,conf #2,200,OK,Conf2 2-6,text,true,,366,0,6,18,322,0,0
1510123001421,325,conf #2,200,OK,Conf2 2-3,text,true,,366,0,7,21,325,0,0
1510123001421,325,conf #2,200,OK,Conf2 2-3,text,true,,366,0,7,21,325,0,0
1510123001737,327,conf #2,200,OK,Conf2 2-7,text,true,,366,0,7,21,327,0,0
1510123001737,327,conf #2,200,OK,Conf2 2-7,text,true,,366,0,7,21,327,0,0
1510123001868,329,conf #2,200,OK,Conf2 2-4,text,true,,366,0,8,23,329,0,0
1510123001868,329,conf #2,200,OK,Conf2 2-4,text,true,,366,0,8,23,329,0,0
