timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1509645414676,624,conf #1,200,OK,Conf1 1-1,text,true,,366,0,2,6,624,0,0
1509645415143,630,conf #1,200,OK,Conf1 1-2,text,true,,366,0,3,9,629,0,0
1509645415598,496,conf #1,200,OK,Conf1 1-3,text,true,,366,0,4,11,496,0,0
1509645416067,504,conf #1,200,OK,Conf1 1-4,text,true,,366,0,5,15,504,0,0
1509645416176,502,conf #1,200,OK,Conf1 1-1,text,true,,366,0,5,15,502,0,0
1509645416522,503,conf #1,200,OK,Conf1 1-5,text,true,,366,0,6,18,503,0,0
1509645416642,530,conf #1,200,OK,Conf1 1-2,text,true,,366,0,6,18,530,0,0
1509645416977,506,conf #1,200,OK,Conf1 1-6,text,true,,366,0,7,21,506,0,0
1509645417098,502,conf #1,200,OK,Conf1 1-3,text,true,,366,0,7,21,502,0,0
1509645417384,511,conf #1,200,OK,Conf1 1-7,text,true,,366,0,8,22,511,0,0
1509645417567,513,conf #1,200,OK,Conf1 1-4,text,true,,366,0,8,24,513,0,0
1509645417676,524,conf #1,200,OK,Conf1 1-1,text,true,,366,0,8,24,524,0,0
1509645417839,534,conf #1,200,OK,Conf1 1-8,text,true,,366,0,9,27,534,0,0
1509645418022,528,conf #1,200,OK,Conf1 1-5,text,true,,366,0,9,27,528,0,0
1509645418142,530,conf #1,200,OK,Conf1 1-2,text,true,,366,0,9,27,530,0,0
1509645418295,521,conf #1,200,OK,Conf1 1-9,text,true,,366,0,10,29,521,0,0
1509645418476,531,conf #1,200,OK,Conf1 1-6,text,true,,366,0,10,30,531,0,0
1509645418598,538,conf #1,200,OK,Conf1 1-3,text,true,,366,0,10,30,538,0,0
1509645418751,540,conf #1,200,OK,Conf1 1-10,text,true,,366,0,11,33,540,0,0
1509645418884,533,conf #1,200,OK,Conf1 1-7,text,true,,366,0,11,33,533,0,0
1509645419067,544,conf #1,200,OK,Conf1 1-4,text,true,,366,0,11,33,544,0,0
1509645419177,637,conf #1,200,OK,Conf1 1-1,text,true,,366,0,11,33,637,0,0
1509645419229,635,conf #1,200,OK,Conf1 1-11,text,true,,366,0,11,33,635,0,0
1509645419340,555,conf #1,200,OK,Conf1 1-8,text,true,,366,0,11,33,555,0,0
1509645419524,557,conf #1,200,OK,Conf1 1-5,text,true,,366,0,11,33,557,0,0
1509645419642,559,conf #1,200,OK,Conf1 1-2,text,true,,366,0,11,33,559,0,0
1509645419796,662,conf #1,200,OK,Conf1 1-9,text,true,,366,0,11,33,661,0,0
1509645419976,582,conf #1,200,OK,Conf1 1-6,text,true,,366,0,11,33,582,0,0
1509645420098,575,conf #1,200,OK,Conf1 1-3,text,true,,366,0,11,33,575,0,0
1509645420250,573,conf #1,200,OK,Conf1 1-10,text,true,,366,0,11,33,573,0,0
1509645420384,570,conf #1,200,OK,Conf1 1-7,text,true,,366,0,11,33,570,0,0
1509645420566,581,conf #1,200,OK,Conf1 1-4,text,true,,366,0,11,33,581,0,0
1509645420675,596,conf #1,200,OK,Conf1 1-1,text,true,,366,0,11,33,596,0,0
1509645420730,591,conf #1,200,OK,Conf1 1-11,text,true,,366,0,11,33,591,0,0
1509645420839,601,conf #1,200,OK,Conf1 1-8,text,true,,366,0,11,33,601,0,0
1509645421022,595,conf #1,200,OK,Conf1 1-5,text,true,,366,0,11,33,595,0,0
1509645421142,598,conf #1,200,OK,Conf1 1-2,text,true,,366,0,11,33,598,0,0
