timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510123219692,287,conf #3,200,OK,Thread Group 3-18,text,true,,366,0,50,60,287,0,0
1510123219559,454,conf #3,200,OK,Thread Group 3-12,text,true,,366,0,50,60,454,0,0
1510123219759,287,conf #3,200,OK,Thread Group 3-21,text,true,,366,0,50,60,287,0,0
1510123219781,287,conf #3,200,OK,Thread Group 3-20,text,true,,366,0,50,60,287,0,0
1510123219780,288,conf #3,200,OK,Thread Group 3-19,text,true,,366,0,50,60,288,0,0
1510123219784,291,conf #3,200,OK,Thread Group 3-23,text,true,,366,0,50,60,291,0,0
1510123219790,299,conf #3,200,OK,Thread Group 3-22,text,true,,366,0,50,60,299,0,0
1510123219803,304,conf #3,200,OK,Thread Group 3-24,text,true,,366,0,50,60,304,0,0
1510123219839,300,conf #3,200,OK,Thread Group 3-25,text,true,,366,0,50,60,300,0,0
1510123219845,302,conf #3,200,OK,Thread Group 3-26,text,true,,366,0,50,60,302,0,0
1510123219863,297,conf #3,200,OK,Thread Group 3-27,text,true,,366,0,50,60,297,0,0
1510123219901,302,conf #3,200,OK,Thread Group 3-29,text,true,,366,0,50,60,302,0,0
1510123219921,300,conf #3,200,OK,Thread Group 3-30,text,true,,366,0,50,60,300,0,0
1510123219881,347,conf #3,200,OK,Thread Group 3-28,text,true,,366,0,50,60,347,0,0
1510123219944,306,conf #3,200,OK,Thread Group 3-31,text,true,,366,0,50,60,306,0,0
1510123219981,305,conf #3,200,OK,Thread Group 3-33,text,true,,366,0,50,60,305,0,0
1510123219996,310,conf #3,200,OK,Thread Group 3-32,text,true,,366,0,50,60,310,0,0
1510123220023,312,conf #3,200,OK,Thread Group 3-35,text,true,,366,0,50,60,312,0,0
1510123220047,308,conf #3,200,OK,Thread Group 3-36,text,true,,366,0,50,60,308,0,0
1510123220064,314,conf #3,200,OK,Thread Group 3-37,text,true,,366,0,50,60,314,0,0
1510123220081,312,conf #3,200,OK,Thread Group 3-38,text,true,,366,0,50,60,312,0,0
1510123220116,315,conf #3,200,OK,Thread Group 3-40,text,true,,366,0,50,60,315,0,0
1510123220141,315,conf #3,200,OK,Thread Group 3-41,text,true,,366,0,50,60,315,0,0
1510123220149,321,conf #3,200,OK,Thread Group 3-39,text,true,,366,0,50,60,321,0,0
1510123220004,478,conf #3,200,OK,Thread Group 3-34,text,true,,366,0,50,60,478,0,0
1510123220208,322,conf #3,200,OK,Thread Group 3-42,text,true,,366,0,50,60,322,0,0
1510123220217,324,conf #3,200,OK,Thread Group 3-44,text,true,,366,0,50,60,324,0,0
1510123220225,324,conf #3,200,OK,Thread Group 3-43,text,true,,366,0,50,60,324,0,0
1510123220283,324,conf #3,200,OK,Thread Group 3-45,text,true,,366,0,50,60,324,0,0
1510123220322,325,conf #3,200,OK,Thread Group 3-46,text,true,,366,0,50,60,325,0,0
1510123220338,329,conf #3,200,OK,Thread Group 3-47,text,true,,366,0,50,60,329,0,0
1510123220353,328,conf #3,200,OK,Thread Group 3-48,text,true,,366,0,50,60,328,0,0
1510123220367,329,conf #3,200,OK,Thread Group 3-49,text,true,,366,0,50,60,329,0,0
1510123220388,332,conf #3,200,OK,Thread Group 3-50,text,true,,366,0,50,60,332,0,0
1510123220553,332,conf #3,200,OK,Thread Group 3-1,text,true,,366,0,50,60,332,0,0
1510123220585,356,conf #3,200,OK,Thread Group 3-2,text,true,,366,0,50,60,356,0,0
1510123220608,345,conf #3,200,OK,Thread Group 3-4,text,true,,366,0,50,60,345,0,0
1510123220592,394,conf #3,200,OK,Thread Group 3-3,text,true,,366,0,50,60,394,0,0
1510123220658,349,conf #3,200,OK,Thread Group 3-6,text,true,,366,0,50,60,348,0,0
